BusID;BusName;Code
10.0;VANGRA1UNE001;0.0
11.0;VANGRA2UNE001;0.0
12.0;VLCBARRUHE004;0.0
13.0;TLCBARRSIN002;0.0
14.0;VFUNIL-UHE002;0.0
16.0;VFURNASUHE005;0.0
17.0;TFURNASSIN003;0.0
18.0;VITUMBIUHE004;0.0
19.0;TITUMBISIN002;0.0
20.0;VMARIMBUHE005;0.0
21.0;VMANSO-UHE002;0.0
22.0;VM.MORAUHE004;0.0
23.0;TCBRAV-SIN000;0.0
24.0;VM.MORBUHE003;0.0
27.0;CCPAUL2-SP500;0.0
28.0;VPCOLOMUHE003;0.0
30.0;VSCRU19UTE000;0.0
31.0;VSCRU13UTE000;0.0
32.0;VSCRU16UTE000;0.0
35.0;VCORUMBUHE002;0.0
36.0;VS.MESAUHE003;0.0
37.0;TS.MESASIN000;0.0
38.0;NGRAJA2SIN001;0.0
41.0;TVITOR2SIN001;0.0
44.0;NGRAJA1SIN001;0.0
46.0;08CAMPO-CER015;2.0
47.0;TVITOR1SIN001;0.0
48.0;QIBIUNASIN004;0.0
50.0;QTPRETOSIN001;0.0
52.0;EP.ACU--RJ345;0.0
53.0;QGNAIG-UTE000;0.0
54.0;QGNAIV-UTE000;0.0
56.0;IIVAIP3-PR069;0.0
57.0;IIVAIP2-PR069;0.0
58.0;UIVAIP2-PR000;1.0
59.0;UIVAIP3-PR000;1.0
60.0;AF.IGUA-PR765;0.0
61.0;CFZ-500-PR500;0.0
62.0;AIV-FZ1CAP765;2.0
63.0;AIV-FZ2CAP765;2.0
64.0;AIV-FZ3CAP765;2.0
65.0;AIVAIPO-PR765;0.0
66.0;BIVAIPA-PR525;0.0
67.0;IIVAIP1-PR069;0.0
68.0;UIVAIP1-PR000;1.0
69.0;AIV-IT1CAP765;2.0
70.0;AIV-IT2CAP765;2.0
71.0;AIV-IT3CAP765;2.0
72.0;AITABER-SP765;0.0
73.0;AIT-TP1CAP765;2.0
74.0;AIT-TP2CAP765;2.0
75.0;AIT-TP3CAP765;2.0
76.0;ATPRETO-SP765;0.0
77.0;CTPRETO-SP500;0.0
78.0;ETPRETO-SP345;0.0
79.0;ITPRETO-SP069;0.0
80.0;UTPRET3-SP000;1.0
81.0;UTPRET4-SP000;1.0
82.0;ETPRET2-SP345;0.0
84.0;GRESEN2-RJ138;0.0
85.0;CFOZ500-PR500;0.0
86.0;EIBIUNA-SP345;0.0
87.0;CRESEND-RJ500;0.0
90.0;EVIANA--ES345;0.0
91.0;NVIANT1-ES013;0.0
92.0;CSB-SM1CAP500;2.0
93.0;CSB-SM2CAP500;2.0
94.0;CSB-SM3CAP500;2.0
95.0;NVIANT2-ES013;0.0
96.0;NVIANT3-ES013;0.0
99.0;CAS-AR1-SP500;2.0
100.0;CMARIMB-MG500;0.0
101.0;CARARAQ-SP500;0.0
102.0;CP.CALD-MG500;0.0
103.0;CCAMPIN-SP500;0.0
104.0;CC.PAUL-SP500;0.0
105.0;CANGRA--RJ500;0.0
106.0;CADRIAN-RJ500;0.0
107.0;CGRAJAU-RJ500;0.0
108.0;CS.JOSE-RJ500;0.0
109.0;CBYPSAD-RJ500;0.0
110.0;UGR1T52-RJ000;1.0
112.0;CBA-IB1-PR500;2.0
113.0;CBA-IB2-PR500;2.0
114.0;CBA-IT1-PR500;2.0
115.0;CBA-IT1CAP500;2.0
116.0;GIMBTAP-RJ138;0.0
118.0;UBANDT4-GO000;1.0
119.0;NBANDT4-GO013;0.0
120.0;EP.CALD-MG345;0.0
121.0;UPCAT51-MG000;1.0
122.0;CIBIUNA-SP500;0.0
123.0;ECAMPIN-SP345;0.0
124.0;UCAMP51-SP000;1.0
125.0;CIB-BA1CAP500;2.0
126.0;EGUARUL-SP345;0.0
127.0;EMO-RL1-SP345;2.0
128.0;EMO-RL2-SP345;2.0
129.0;EMOGI---SP345;0.0
130.0;CIB-BA2CAP500;2.0
131.0;EM.MORA-MG345;0.0
133.0;UADRT1A-RJ000;1.0
134.0;ELCBARR-SP345;0.0
135.0;UJACT1A-RJ000;1.0
136.0;EFURNAS-MG345;0.0
137.0;UJACT2A-RJ000;1.0
138.0;EITUTIN-MG345;0.0
139.0;UADRT51-RJ000;1.0
140.0;EADRIAN-RJ345;0.0
141.0;UADRT53-RJ000;1.0
142.0;UADRT55-RJ000;1.0
143.0;UADRT2B-RJ000;1.0
144.0;EJACARE-RJ345;0.0
145.0;UADRT1B-RJ000;1.0
146.0;UADRT2A-RJ000;1.0
147.0;ECAMPOS-RJ345;0.0
148.0;UCAMPO1-RJ000;1.0
149.0;EVITORI-ES345;0.0
150.0;UVITAT1-ES000;1.0
152.0;UVITAT2-ES000;1.0
153.0;UVITAT3-ES000;1.0
154.0;NVITAT2-ES013;0.0
155.0;NVITAT3-ES013;0.0
156.0;NVITAT4-ES013;0.0
158.0;UVITAT4-ES000;1.0
159.0;NJA-R30-RJ013;0.0
160.0;NJB-R60-RJ013;0.0
161.0;FMO-FCE-SP230;0.0
162.0;UCAMAT1-SP000;1.0
163.0;NCAMPI1-SP013;0.0
164.0;UPCAT02-MG000;1.0
165.0;NP.CAL2-MG013;0.0
166.0;UJACT1B-RJ000;1.0
167.0;NJA-R60-RJ013;0.0
169.0;GSJOSE2-RJ138;0.0
170.0;GP.CALD-MG138;0.0
171.0;GCAMPI1-SP138;0.0
172.0;GIMBARE-RJ138;0.0
173.0;GADRIAN-RJ138;0.0
174.0;GR.LEAO-RJ138;0.0
175.0;GCAMPOS-RJ138;0.0
