;BUS_ID;BUS_NAME;Gen_Type;Latitude;Longitude;U_FED;REG
0;10.0;ANGRA1UNE001;UNE;-23.008611;-44.454948;RJ;Sudeste-Centro-Oeste
1;11.0;ANGRA2UNE001;UNE;-23.008611;-44.454948;RJ;Sudeste-Centro-Oeste
2;12.0;LCBARRUHE004;UHE;-20.155287;-47.284213;SP;Sudeste-Centro-Oeste
3;13.0;LCBARRSIN002;SIN;-20.155287;-47.284213;SP;Sudeste-Centro-Oeste
4;14.0;FUNIL-UHE002;UHE;-22.526586;-44.572512;RJ;Sudeste-Centro-Oeste
5;16.0;FURNASUHE005;UHE;-20.66732;-46.319262;MG;Sudeste-Centro-Oeste
6;17.0;FURNASSIN003;SIN;-20.66732;-46.319262;MG;Sudeste-Centro-Oeste
7;18.0;ITUMBIUHE004;UHE;-18.407529;-49.112968;MG;Sudeste-Centro-Oeste
8;19.0;ITUMBISIN002;SIN;-18.407529;-49.112968;MG;Sudeste-Centro-Oeste
9;20.0;MARIMBUHE005;UHE;-20.301198;-49.20339;MG;Sudeste-Centro-Oeste
10;21.0;MANSO-UHE002;UHE;-14.875085;-55.788375;MT;Sudeste-Centro-Oeste
11;22.0;M.MORAUHE004;UHE;-20.286561;-47.069916;MG;Sudeste-Centro-Oeste
12;23.0;CBRAV-SIN000;SIN;-13.3993837;-48.1405438;GO;Sudeste-Centro-Oeste
13;24.0;M.MORBUHE003;UHE;-22.505;-48.545;MG;Sudeste-Centro-Oeste
14;27.0;CPAUL2-SP500;;-22.632745;-45.035694;SP;Sudeste-Centro-Oeste
15;28.0;PCOLOMUHE003;UHE;-22.505;-48.545;MG;Sudeste-Centro-Oeste
16;30.0;SCRU19UTE000;UTE;-22.91709;-43.750502;RJ;Sudeste-Centro-Oeste
17;31.0;SCRU13UTE000;UTE;-22.91709;-43.750502;RJ;Sudeste-Centro-Oeste
18;32.0;SCRU16UTE000;UTE;-22.91709;-43.750502;RJ;Sudeste-Centro-Oeste
19;35.0;CORUMBUHE002;UHE;-17.987029;-48.54114;GO;Sudeste-Centro-Oeste
20;36.0;S.MESAUHE003;UHE;-13.826187;-48.300833;GO;Sudeste-Centro-Oeste
21;37.0;S.MESASIN000;SIN;-13.826187;-48.300833;GO;Sudeste-Centro-Oeste
22;38.0;GRAJA2SIN001;SIN;-22.928023;-43.264827;RJ;Sudeste-Centro-Oeste
23;41.0;VITOR2SIN001;SIN;-20.194191;-40.294523;PR;Sul
24;44.0;GRAJA1SIN001;SIN;-22.928023;-43.264827;RJ;Sudeste-Centro-Oeste
25;47.0;VITOR1SIN001;SIN;-20.194191;-40.294523;PR;Sul
26;48.0;IBIUNASIN004;SIN;-23.665017;-47.101719;SP;Sudeste-Centro-Oeste
27;50.0;TPRETOSIN001;SIN;-23.710734;-46.273544;SP;Sudeste-Centro-Oeste
28;52.0;P.ACU--RJ345;;-21.83721694;-41.04198255;RJ;Sudeste-Centro-Oeste
29;53.0;GNAIG-UTE000;UTE;-21.83721694;-41.04198255;RJ;Sudeste-Centro-Oeste
30;54.0;GNAIV-UTE000;UTE;-21.83721694;-41.04198255;RJ;Sudeste-Centro-Oeste
