De;Nome;Area;Para;Nome;Area
827;    JAGUAR-PR230   S;n;627;ITARAR-SP230;n
884;    FIGUEI-PR230;n;615;CHAVAN-SP230;n
9892;ANDIRL-PR230;n;612;SALTGR-SP230;n
125;    IB-BA1CAP500;n;112;    BA-IB1-PR500;n
978;GUAIRA-PR230;n;1086;DOURAD-MS230;n
1027;LONDRI-PR525;n;556;ASSIS--SP525;n
551;ASSIS2-SP230;n;9892;ANDIRL-PR230;n
115;    BA-IT1CAP500;n;6609;ITATIB-SP500;n
551;ASSIS2-SP230;n;889;LONDRC-PR230;n
130;    IB-BA2CAP500;n;113;    BA-IB2-PR500;n
1027;LONDRI-PR525;n;556;ASSIS--SP525;n
551;ASSIS2-SP230;n;889;LONDRC-PR230;n
72; ITABER-SP765;n;71; IV-IT3CAP765;n
72; ITABER-SP765;n;70; IV-IT2CAP765;n
69; IV-IT1CAP765;n;72; ITABER-SP765;n
