De;Nome;Area;Para;Nome;Area
125; IB-BA1CAP500;n;112; BA-IB1-PR500;n
130; IB-BA2CAP500;n;113; BA-IB2-PR500;n
551; ASSIS2-SP230;n;889; LONDRC-PR230;n
978; GUAIRA-PR230;n;1086; DOURAD-MS230;n
551; ASSIS2-SP230;n;9892; ANDIRL-PR230;n
9435; FI-CV1-PR500;n;896; CASCOE-PR525;n
1027; LONDRI-PR525;n;556; ASSIS--SP525;n
9892; ANDIRL-PR230;n;612; SALTGR-SP230;n
884; FIGUEI-PR230;n;615; CHAVAN-SP230;n
827; JAGUAR-PR230;n;627; ITARAR-SP230;n
65; IVAIPO-PR765;n;58; IVAIP2-PR000;n
65; IVAIPO-PR765;n;59; IVAIP3-PR000;n
65; IVAIPO-PR765;n;68; IVAIP1-PR000;n
115; BA-IT1CAP500;n;6609; ITATIB-SP500;n
551; ASSIS2-SP230;n;889; LONDRC-PR230;n
1027; LONDRI-PR525;n;556; ASSIS--SP525;n
