ARE,Name,UF,Group_Area,U_FED,REG
1,RS - 525 kV,RS,525 kV,RS,Sul
2,RS - 230 kV,RS,230 kV,RS,Sul
3,RS - DIT/DIS,RS,DIT/DIS,RS,Sul
4,RS - DIT/DIS,RS,DIT/DIS,RS,Sul
5,RS - Consumi,RS,Consumi,RS,Sul
6,RS - Autopro,RS,Autopro,RS,Sul
30,None,None,,,
35,None,None,,,
51,SC - 525 kV,SC,525 kV,SC,Sul
52,SC - 230 kV,SC,230 kV,SC,Sul
53,SC - DIT/DIS,SC,DIT/DIS,SC,Sul
54,SC - Consumi,SC,Consumi,SC,Sul
101,PR - 525 kV,PR,525 kV,PR,Sul
102,PR - 230 kV,PR,230 kV,PR,Sul
103,PR - DIT/DIS,PR,DIT/DIS,PR,Sul
104,PR - Consumi,PR,Consumi,PR,Sul
105,PR - Autopro,PR,Autopro,PR,Sul
201,SP - 765 kV,SP,765 kV,SP,Sudeste-Centro-Oeste
202,SP - 500 kV,SP,500 kV,SP,Sudeste-Centro-Oeste
203,SP - 440 kV,SP,440 kV,SP,Sudeste-Centro-Oeste
204,SP - 345 kV,SP,345 kV,SP,Sudeste-Centro-Oeste
205,SP - 230 kV,SP,230 kV,SP,Sudeste-Centro-Oeste
206,SP - DIT/DIS,SP,DIT/DIS,SP,Sudeste-Centro-Oeste
207,SP - DIT/DIS,SP,DIT/DIS,SP,Sudeste-Centro-Oeste
208,SP - DIT/DIS,SP,DIT/DIS,SP,Sudeste-Centro-Oeste
209,SP - DIT/DIS,SP,DIT/DIS,SP,Sudeste-Centro-Oeste
210,SP - DIT/DIS,SP,DIT/DIS,SP,Sudeste-Centro-Oeste
211,SP - DIT/DIS,SP,DIT/DIS,SP,Sudeste-Centro-Oeste
212,SP - DIT/DIS,SP,DIT/DIS,SP,Sudeste-Centro-Oeste
213,SP - DIT/DIS,SP,DIT/DIS,SP,Sudeste-Centro-Oeste
214,SP - DIT/DIS,SP,DIT/DIS,SP,Sudeste-Centro-Oeste
215,SP - Autopro,SP,Autopro,SP,Sudeste-Centro-Oeste
216,SP - Consumi,SP,Consumi,SP,Sudeste-Centro-Oeste
217,SP - Autopro,SP,Autopro,SP,Sudeste-Centro-Oeste
241,PY - Sistema,PY,Sistema,,
251,RJ - 500 kV,RJ,500 kV,RJ,Sudeste-Centro-Oeste
252,RJ - 345 kV,RJ,345 kV,RJ,Sudeste-Centro-Oeste
253,RJ - 230 kV,RJ,230 kV,RJ,Sudeste-Centro-Oeste
254,RJ - DIT/DIS,RJ,DIT/DIS,RJ,Sudeste-Centro-Oeste
255,RJ - DIT/DIS,RJ,DIT/DIS,RJ,Sudeste-Centro-Oeste
256,RJ - DIT/DIS,RJ,DIT/DIS,RJ,Sudeste-Centro-Oeste
257,RJ - DIT/DIS,RJ,DIT/DIS,RJ,Sudeste-Centro-Oeste
258,RJ - DIT/DIS,RJ,DIT/DIS,RJ,Sudeste-Centro-Oeste
259,RJ - DIT/DIS,RJ,DIT/DIS,RJ,Sudeste-Centro-Oeste
260,RJ - Consumi,RJ,Consumi,RJ,Sudeste-Centro-Oeste
261,RJ - Autopro,RJ,Autopro,RJ,Sudeste-Centro-Oeste
262,RJ - Autopro,RJ,Autopro,RJ,Sudeste-Centro-Oeste
301,ES - 500 kV,ES,500 kV,ES,Sudeste-Centro-Oeste
302,ES - 345 kV,ES,345 kV,ES,Sudeste-Centro-Oeste
303,ES - 230 kV,ES,230 kV,ES,Sudeste-Centro-Oeste
304,ES - DIT/DIS,ES,DIT/DIS,ES,Sudeste-Centro-Oeste
305,ES - DIT/DIS,ES,DIT/DIS,ES,Sudeste-Centro-Oeste
306,ES - DIT/DIS,ES,DIT/DIS,ES,Sudeste-Centro-Oeste
307,ES - Autopro,ES,Autopro,ES,Sudeste-Centro-Oeste
351,MG - 500 kV,MG,500 kV,MG,Sudeste-Centro-Oeste
352,MG - 345 kV,MG,345 kV,MG,Sudeste-Centro-Oeste
353,MG - 230 kV,MG,230 kV,MG,Sudeste-Centro-Oeste
354,MG - DIT/DIS,MG,DIT/DIS,MG,Sudeste-Centro-Oeste
355,MG - DIT/DIS,MG,DIT/DIS,MG,Sudeste-Centro-Oeste
356,MG - DIT/DIS,MG,DIT/DIS,MG,Sudeste-Centro-Oeste
357,MG - DIT/DIS,MG,DIT/DIS,MG,Sudeste-Centro-Oeste
358,MG - DIT/DIS,MG,DIT/DIS,MG,Sudeste-Centro-Oeste
359,MG - DIT/DIS,MG,DIT/DIS,MG,Sudeste-Centro-Oeste
360,MG - DIT/DIS,MG,DIT/DIS,MG,Sudeste-Centro-Oeste
361,MG - DIT/DIS,MG,DIT/DIS,MG,Sudeste-Centro-Oeste
362,MG - Consumi,MG,Consumi,MG,Sudeste-Centro-Oeste
363,MG - Autopro,MG,Autopro,MG,Sudeste-Centro-Oeste
401,MS - 440 kV,MS,440 kV,MS,Sudeste-Centro-Oeste
402,MS - 230 kV,MS,230 kV,MS,Sudeste-Centro-Oeste
403,MS - DIT/DIS,MS,DIT/DIS,MS,Sudeste-Centro-Oeste
404,MS - Autopro,MS,Autopro,MS,Sudeste-Centro-Oeste
405,MS - Autopro,MS,Autopro,MS,Sudeste-Centro-Oeste
431,AC - 230 kV,AC,230 kV,AC,AC-RO
432,AC - DIT/DIS,AC,DIT/DIS,AC,AC-RO
