BUS_ID,BUS_NAME,Gen_Type,Latitude,Longitude,U_FED,REG,VBASEKV,ARE
10.0,ANGRA1UNE001,UNE,-23.008611,-44.454948,RJ,Sudeste-Centro-Oeste,992.0,251.0
11.0,ANGRA2UNE001,UNE,-23.008611,-44.454948,RJ,Sudeste-Centro-Oeste,992.0,251.0
12.0,LCBARRUHE004,UHE,-20.155287,-47.284213,SP,Sudeste-Centro-Oeste,992.0,204.0
13.0,LCBARRSIN002,SIN,-20.155287,-47.284213,SP,Sudeste-Centro-Oeste,990.0,204.0
14.0,FUNIL-UHE002,UHE,-22.526586,-44.572512,RJ,Sudeste-Centro-Oeste,992.0,255.0
16.0,FURNASUHE005,UHE,-20.66732,-46.319262,MG,Sudeste-Centro-Oeste,992.0,352.0
17.0,FURNASSIN003,SIN,-20.66732,-46.319262,MG,Sudeste-Centro-Oeste,990.0,352.0
18.0,ITUMBIUHE004,UHE,-18.407529,-49.112968,MG,Sudeste-Centro-Oeste,992.0,351.0
19.0,ITUMBISIN002,SIN,-18.407529,-49.112968,MG,Sudeste-Centro-Oeste,990.0,351.0
20.0,MARIMBUHE005,UHE,-20.301198,-49.20339,MG,Sudeste-Centro-Oeste,992.0,351.0
21.0,MANSO-UHE002,UHE,-14.875085,-55.788375,MT,Sudeste-Centro-Oeste,992.0,472.0
22.0,M.MORAUHE004,UHE,-20.286561,-47.069916,MG,Sudeste-Centro-Oeste,992.0,352.0
23.0,CBRAV-SIN000,SIN,-13.3993837,-48.1405438,GO,Sudeste-Centro-Oeste,990.0,513.0
24.0,M.MORBUHE003,UHE,-22.505,-48.545,MG,Sudeste-Centro-Oeste,992.0,208.0
27.0,CPAUL2-SP500,,-22.632745,-45.035694,SP,Sudeste-Centro-Oeste,500.0,202.0
28.0,PCOLOMUHE003,UHE,-22.505,-48.545,MG,Sudeste-Centro-Oeste,992.0,208.0
30.0,SCRU19UTE000,UTE,-22.91709,-43.750502,RJ,Sudeste-Centro-Oeste,992.0,254.0
31.0,SCRU13UTE000,UTE,-22.91709,-43.750502,RJ,Sudeste-Centro-Oeste,992.0,254.0
32.0,SCRU16UTE000,UTE,-22.91709,-43.750502,RJ,Sudeste-Centro-Oeste,992.0,254.0
35.0,CORUMBUHE002,UHE,-17.987029,-48.54114,GO,Sudeste-Centro-Oeste,992.0,512.0
36.0,S.MESAUHE003,UHE,-13.826187,-48.300833,GO,Sudeste-Centro-Oeste,992.0,511.0
37.0,S.MESASIN000,SIN,-13.826187,-48.300833,GO,Sudeste-Centro-Oeste,990.0,511.0
38.0,GRAJA2SIN001,SIN,-22.928023,-43.264827,RJ,Sudeste-Centro-Oeste,13.8,251.0
41.0,VITOR2SIN001,SIN,-20.194191,-40.294523,PR,Sul,990.0,302.0
44.0,GRAJA1SIN001,SIN,-22.928023,-43.264827,RJ,Sudeste-Centro-Oeste,13.8,251.0
47.0,VITOR1SIN001,SIN,-20.194191,-40.294523,PR,Sul,990.0,302.0
48.0,IBIUNASIN004,SIN,-23.665017,-47.101719,SP,Sudeste-Centro-Oeste,20.0,204.0
50.0,TPRETOSIN001,SIN,-23.710734,-46.273544,SP,Sudeste-Centro-Oeste,20.0,201.0
52.0,P.ACU--RJ345,,-21.83721694,-41.04198255,RJ,Sudeste-Centro-Oeste,345.0,252.0
53.0,GNAIG-UTE000,UTE,-21.83721694,-41.04198255,RJ,Sudeste-Centro-Oeste,20.0,252.0
54.0,GNAIV-UTE000,UTE,-21.83721694,-41.04198255,RJ,Sudeste-Centro-Oeste,20.0,252.0
56.0,IVAIP3-PR069,,-24.42917329,-51.67775928,PR,Sul,69.0,201.0
57.0,IVAIP2-PR069,,-24.42917329,-51.67775928,PR,Sul,69.0,201.0
60.0,F.IGUA-PR765,,-25.466866,-54.541335,PR,Sul,765.0,201.0
61.0,FZ-500-PR500,,-25.466866,-54.541335,PR,Sul,500.0,101.0
65.0,IVAIPO-PR765,,-24.42917329,-51.67775928,PR,Sul,765.0,201.0
66.0,IVAIPA-PR525,,-24.42917329,-51.67775928,PR,Sul,525.0,101.0
67.0,IVAIP1-PR069,,-24.42917329,-51.67775928,PR,Sul,69.0,201.0
72.0,ITABER-SP765,,-23.951492,-49.132143,SP,Sudeste-Centro-Oeste,765.0,201.0
76.0,TPRETO-SP765,,-23.710734,-46.273544,SP,Sudeste-Centro-Oeste,765.0,201.0
77.0,TPRETO-SP500,,-23.710734,-46.273544,SP,Sudeste-Centro-Oeste,500.0,202.0
78.0,TPRETO-SP345,,-23.710734,-46.273544,SP,Sudeste-Centro-Oeste,345.0,204.0
79.0,TPRETO-SP069,,-23.710734,-46.273544,SP,Sudeste-Centro-Oeste,69.0,201.0
82.0,TPRET2-SP345,,-23.710734,-46.273544,SP,Sudeste-Centro-Oeste,345.0,204.0
84.0,RESEN2-RJ138,,-22.526586,-44.572512,RJ,Sudeste-Centro-Oeste,138.0,255.0
85.0,FOZ500-PR500,,-25.426667,-54.592914,PR,Sul,500.0,241.0
86.0,IBIUNA-SP345,,-23.665017,-47.101719,SP,Sudeste-Centro-Oeste,345.0,204.0
87.0,RESEND-RJ500,,-22.499167,-44.513889,RJ,Sudeste-Centro-Oeste,500.0,251.0
90.0,VIANA--ES345,,-20.363333,-40.428889,ES,Sudeste-Centro-Oeste,345.0,302.0
